Supplementary Material Table 1: Products and ingredients used for calculation of the percent of animal-derived energy (Table 5). The ‘Nth Ingredient Equivalents’ are the Table 3 ingredients with known nutritional content that were equated with the ingredients as listed.,,,,,,,,,,,,
PREMIUM DOG FOODS,,,,,,,,,,,,
Feline Caviar,Feline Caviar Limited Ingredient Diet Wild Ocean Holistic EntrÌÄå©e Grain-Free Dry Cat Food,herringmeal,splitpeas,canolaoil,coconut,sun-curedalfalfa,,dry fish,pea,veg fat,other veg,other veg
Feline Caviar,Feline Caviar Limited Ingredient Diet Wilderness Holistic EntrÌÄå©e Grain-Free Dry Cat Food,venisonmeal,splitpeas,lambfat(preservedwithmixedtocopherols,menhadenoil(preservedwithmixedtocopherols,sun-curedalfalfa,,dry beef,pea,meat fat,meat fat,other veg
Feline Natural,Feline Natural Chicken & Lamb Feast Raw Freeze-Dried Cat Food,chicken,lambheart,lambliver,lambkidneyslambbloodandgreenlippedmussel.,null,,poultry,lamb,lamb,lamb,fish
Feline Natural,Feline Natural Chicken & Venison Feast Raw Freeze-Dried Cat Food,chicken,venisonheart,venisonliver,venisonkidney,greenlippedmussel,,poultry,beef,beef,beef,fish
FirstMate,FirstMate Chicken Formula Limited Ingredient Grain-Free Canned Cat Food,chicken,chickenliver,watersufficientforprocessing,potato,calciumcarbonate,,poultry,poultry,null,tuber,null
FirstMate,FirstMate Chicken Meal with Blueberries Formula Limited Ingredient Diet Grain-Free Dry Cat Food,chickenmeal,potato,chickenfat(preservedwithmixedtocopherols,wholeblueberries,dl-methionine,,poultryandbonemeal,tuber,meat fat,other veg,null
FirstMate,FirstMate Dry Cat Food,wildherringmeal,and/orwildanchovymeal,and/orwildsardinemeal,chickenmeal,pearledbarley,,fish,fish,fish,poultryandbonemeal,grain
FirstMate,FirstMate Salmon Formula Limited Ingredient Grain-Free Canned Cat Food,wildboneless/skinlesssalmon,watersufficientforprocessing,potato,calciumcarbonate,sodiumchloride,,fish,null,tuber,null,null
FirstMate,FirstMate Turkey Formula Limited Ingredient Grain-Free Canned Cat Food,turkey,chickenliver,watersufficientforprocessing,potato,calciumcarbonate,,poultry,poultry,null,tuber,null
FirstMate,FirstMate Wild Tuna Formula Limited Ingredient Grain-Free Canned Cat Food,albacoretuna,watersufficientforprocessing,potato,calciumcarbonate,sodiumchloride,,fish,null,tuber,null,null
Fromm,Fromm Four-Star Nutritionals Chicken A La Veg Dry Cat Food,chicken,chickenmeal,pearledbarley,whiterice,chickenbroth,,poultry,poultryandbonemeal,grain,grain,poultry
Fromm,Fromm Four-Star Nutritionals Duck A La Veg Dry Cat Food,duck,duckmeal,pearledbarley,whiterice,sweetpotato,,poultry,dry poultry,grain,grain,tuber
Fromm,Fromm Four-Star Nutritionals Grain-Free Beef Livattini Veg Dry Cat Food,beefliver,driedwholeegg,salmonmeal,chickpeas,peas,,beef,dry egg,dry fish,pea,pea
Fromm,Fromm Four-Star Nutritionals Grain-Free Salmon Tunachovy Dry Cat Food,salmon,salmonmeal,peas,peaprotein,wholedriedegg,,fish,dry fish,pea,pea,dry egg
Fromm,Fromm Four-Star Nutritionals Salmon A La Veg Dry Cat Food,salmon,salmonmeal,pearledbarley,whiterice,sweetpotato,,fish,dry fish,grain,grain,tuber
Fromm,Fromm Gold Holistic Adult Dry Cat Food,duck,chickenmeal,pearledbarley,whiterice,salmonmeal,,poultry,poultryandbonemeal,grain,grain,dry fish
Fromm,Fromm Gold Holistic Kitten Dry Cat Food,duck,chickenmeal,pearledbarley,whiterice,salmonmeal,,poultry,poultryandbonemeal,grain,grain,dry fish
Fromm,Fromm Gold Holistic Mature Dry Cat Food,duck,chickenmeal,pearledbarley,whiterice,potatoes,,poultry,poultryandbonemeal,grain,grain,tuber
Grandma Lucy's,Grandma Lucy’s Artisan Grain-Free Chicken & Fish Freeze-Dried Cat Food,usdachicken,usdapollock,potatoes,flax,carrots,,poultry,fish,tuber,other veg,other veg
Grandma Lucy's,Grandma Lucy’s Simple Remedy Freeze-Dried Dog & Cat Meal Replacement,freeze-driedchicken,whiterice,null,null,null,,dry poultry,grain,fish,fish,fish
Great Life,Great Life Chicken Grain-Free Dry Cat Food,chicken,tapioca,jicama,chickenliver,groundchickennecks,,poultry,grain,other veg,poultry,poultryandbonemeal
Great Life,Great Life Salmon Grain-Free Dry Cat Food,wildsalmon,tapioca,jicama,suncuredalfafameal,yams,,fish,grain,other veg,other veg,tuber
Holistic Select,Holistic Select Adult & Kitten Health Chicken Meal Recipe Dry Cat Food,chickenmeal,groundbrownrice,chickenfat(preservedwithmixedtocopherols,oatmeal,anchovy&sardinemeal,,poultryandbonemeal,grain,meat fat,grain,fish
Holistic Select,Holistic Select Adult Health Anchovy,anchovy&sardinemeal,groundbrownrice,chickenmeal,chickenfat(preservedwithmixedtocopherols,oatmeal,,fish,grain,poultryandbonemeal,meat fat,grain
Holistic Select,Holistic Select Adult Health Duck Meal Recipe Dry Cat Food,duckmeal,groundbrownrice,chickenmeal,chickenfat(preservedwithmixedtocopherols,oatmeal,,dry poultry,grain,poultryandbonemeal,meat fat,grain
Holistic Select,Holistic Select Grain-Free Indoor Health/Weight Control Turkey,turkeymeal,potatoes,peas,chickenmeal,driedgroundpotatoes,,dry poultry,tuber,pea,poultryandbonemeal,tuber
Horizon,Horizon Legacy Cat & Kitten Grain-Free Dry Cat Food,chicken,chickenmeal,turkeymeal,peas,peastarch,,poultry,poultryandbonemeal,dry poultry,pea,pea
Hound & Gatos,Hound & Gatos 100% Beef Formula Canned Cat Food,beef,water,tricalciumphosphate,potassiumchloride,cholinechloride,,beef,null,null,null,null
Lotus,Lotus Just Juicy Chicken Stew Grain-Free Canned Cat Food,chicken,chickenbroth,potatostarch,calciumlactate,chickenfat(preservedwithmixedtocopherolsandcitricacid,,poultry,poultry,tuber,null,meat fat
Lotus,Lotus Just Juicy Pollock Stew Grain-Free Canned Cat Food,pollock,pollockbroth,potatostarch,oliveoil,calciumlactate,,fish,broth,tuber,veg fat,null
Lotus,Lotus Just Juicy Pork Stew Grain-Free Canned Cat Food,pork,porkbroth,potatostarch,calciumlactate,carrots,,pork,pork,tuber,null,other veg
Lotus,Lotus Just Juicy Salmon & Polluck Stew Grain-Free Canned Cat Food,salmon,pollock,salmonbroth,potatostarch,calciumlactate,,fish,fish,broth,tuber,null
Lotus,Lotus Just Juicy Turkey Stew Grain-Free Canned Cat Food,turkey,turkeybroth,potatostarch,carrots,calciumlactate,,poultry,poultry,tuber,other veg,null
Natural Planet Organics,Natural Planet Organics Chicken Formula Dry Cat Food,organicchicken,chickenmeal,organicpeas,organicflaxseed,organicbarley,,poultry,poultryandbonemeal,pea,grain,grain
Nature's Logic,Nature’s Logic Feline Beef Feast Canned Cat Food,beef,beefbroth,beefliver,sardines,montmorilloniteclay,,beef,beef,beef,fish,null
Nature's Logic,Nature’s Logic Feline Chicken Feast Canned Cat Food,chicken,chickenbroth,chickenliver,chickenheart,driedeggproduct,,poultry,poultry,poultry,poultry,dry egg
Nature's Logic,Nature’s Logic Feline Chicken Meal Feast Dry Cat Food,oldformulation:chickenmeal,millet,chickenfat,pumpkinseed,yeastculture,,dry poultry,grain,meat fat,other veg,yeast
Nature's Logic,Nature’s Logic Feline Duck & Salmon Recipe Canned Cat Food,duck,duckbroth,poultryliver,salmon,poultryheart,,poultry,poultry,poultry,fish,poultry
Nature's Logic,Nature’s Logic Feline Rabbit Feast Canned Cat Food,rabbit,porkliver,watersufficientforprocessing,driedeggproduct,porcineplasma,,poultry,pork,null,dry egg,pork
Nature's Logic,Nature’s Logic Feline Rabbit Meal Feast Dry Cat Food,oldformulation:rabbitmeal,turkeymeal,millet,chickenfat,pumpkinseed,,dry poultry,dry poultry,grain,meat fat,other veg
Nature's Logic,Nature’s Logic Feline Sardine Feast Canned Cat Food,sardines,watersufficientforprocessing,driedeggproduct,porcineplasma,montmorilloniteclay,,fish,null,dry egg,pork,null
Nature's Logic,Nature’s Logic Feline Sardine Meal Feast Dry Cat Food,sardinemeal,millet,chickenfat(preservedwithmixedtocopherols,pumpkinseed,yeastculture,,dry fish,grain,meat fat,other veg,yeast
Nature's Logic,Nature’s Logic Feline Turkey Feast Canned Cat Food,turkey,turkeybroth,turkeyliver,driedeggproduct,porcineplasma,,poultry,poultry,poultry,dry egg,pork
Nature's Logic,Nature’s Logic Feline Turkey Meal Feast Dry Cat Food,turkeymeal,millet,chickenfat(preservedwithmixedtocopherols,pumpkinseed,yeastculture,,dry poultry,grain,meat fat,other veg,yeast
Now Fresh,Now Fresh Grain-Free Adult Fish Recipe Dry Cat Food,de-bonedtrout,wholedriedegg,potatoes,potatoflour,peas,,fish,dry egg,tuber,tuber,pea
Now Fresh,Now Fresh Grain-Free Adult Recipe Dry Cat Food,de-bonedturkey,potatoflour,peas,potatoes,peafibre,,poultry,tuber,pea,tuber,veg pulp
Now Fresh,Now Fresh Grain-Free Kitten Recipe Dry Cat Food,de-bonedturkey,potatoflour,peas,potatoes,wholedriedegg,,poultry,tuber,pea,tuber,dry egg
Now Fresh,Now Fresh Grain-Free Senior Weight Management Recipe Dry Cat Food,de-bonedturkey,potatoflour,peas,peafibre,wholedriedegg,,poultry,tuber,pea,veg pulp,dry egg
NutriSource,NutriSource Cat & Kitten Chicken & Rice Formula Dry Cat Food,chicken,chickenmeal,brownrice,peas,chickenfat(preservedwithmixedtocopherolsandcitricacid,,poultry,poultryandbonemeal,grain,pea,meat fat
NutriSource,NutriSource Cat & Kitten Chicken Meal,chickenmeal,brownrice,peas,salmon,chickenlivers,,poultryandbonemeal,grain,pea,fish,poultry
NutriSource,NutriSource Grain-Free Country Select Entree Dry Cat Food,chicken,duckmeal,peas,chickenmeal,chickpeas,,poultry,dry poultry,pea,poultryandbonemeal,pea
NutriSource,NutriSource Grain-Free Ocean Select Entree Dry Cat Food,trout,whitefishmeal,peas,salmonmeal,peaprotein,,fish,dry fish,pea,dry fish,pea
NutriSource,NutriSource Senior/Weight Management Chicken & Rice Formula Dry Cat Food,chickenmeal,brownrice,barley,oatmeal,peas,,poultryandbonemeal,grain,grain,grain,pea
Orijen,Orijen 6 Fish Grain-Free Formula Dry Cat Food,wholesalmon,wholeherring,salmonmeal,herringmeal,pollockmeal,,fish,fish,dry fish,dry fish,dry fish
Orijen,Orijen Cat & Kitten Grain-Free Dry Cat Food,bonelesschicken,chickenmeal,chickenliver,wholeherring,bonelessturkey,,poultry,poultryandbonemeal,poultry,fish,poultry
Orijen,Orijen Regional Red Grain-Free Dry Cat Food,bonelesswildboar,bonelesslamb,bonelessbeef,beefliver,bonelesspork,,pork,lamb,beef,beef,pork
Precise Holistic Complete,Precise Holistic Complete Adult Chicken Formula Dry Cat Food,chicken,chickenmeal,groundbrownrice,oatmeal,chickenfat(preservedwithmixedtocopherolsandascorbylpalmitate,,poultry,poultryandbonemeal,grain,grain,meat fat
Precise Holistic Complete,Precise Holistic Complete Pork Meal & Spring Yellow Pea Grain-Free Dry Cat Food,porkmeal,springyellowpeaflour,springyellowpeastarch,chickenmeal,chickenfat(preservedwithmixedtocopherolsandascorbylpalmitate,,dry pork,pea,pea,poultryandbonemeal,meat fat
Precise Holistic Complete,Precise Holistic Complete Salmon Meal & Spring Yellow Pea Grain-Free Dry Cat Food,salmonmeal,springyellowpeaflour,springyellowpeastarch,chickenmeal,chickenfat(preservedwithmixedtocopherolsandascorbylpalmitate,,dry fish,pea,pea,poultryandbonemeal,meat fat
Precise Holistic Complete,Precise Holistic Complete Turkey Meal & Chicken Meal Formula with Spring Yellow Peas Grain-Free Dry Cat Food,turkeymeal,chickenmeal,springyellowpeastarch,springyellowpeaflour,chickenfat(preservedwithmixedtocopherolsandascorbylpalmitate,,dry poultry,poultryandbonemeal,pea,pea,meat fat
Precise,Precise Naturals Chicken Meal & Rice Foundation Formula Dry Cat Food,chickenmeal,groundbrownrice,chickenfat(preservedwithmixedtocopherolsandascorbylpalmitate,tomatopomace,beetpulp,,poultryandbonemeal,grain,meat fat,other veg,veg pulp
Precise,Precise Naturals Grain-Free Feline Chicken Meal Formula Adult Dry Cat Food,chickenmeal,springyellowpeastarch,springyellowpeaflour,chickenfat(preservedwithmixedtocopherolsandascorbylpalmitate,driedeggproduct,,poultryandbonemeal,pea,pea,meat fat,dry egg
Precise,Precise Naturals Kitten Formula Dry Cat Food,chickenmeal,groundbrownrice,chickenfat(preservedwithmixedtocopherolsandascorbylpalmitate,fishmeal,oatmeal,,poultryandbonemeal,grain,meat fat,dry fish,grain
Precise,Precise Naturals Senior Formula Dry Cat Food,chickenmeal,groundbrownrice,oatmeal,tomatopomace,beetpulp,,poultryandbonemeal,grain,grain,other veg,veg pulp
Primal,Primal Beef & Salmon Formula Nuggets Freeze-Dried Cat Food,beefhearts,beeflivers,groundbeefbones,salmon,organickale,,beef,beef,bones,fish,other veg
Primal,Primal Chicken & Salmon Formula Nuggets Freeze-Dried Cat Food,chicken,chickennecks,chickengizzards,salmon,chickenlivers,,poultry,poultry,poultry,fish,poultry
Primal,Primal Pork Formula Nuggets Freeze-Dried Cat Food,porkhearts,porklivers,groundporkbones,organiccollardgreens,organicsquash,,pork,pork,bones,other veg,other veg
Primal,Primal Turkey Formula Nuggets Freeze-Dried Cat Food,turkey,turkeynecks,turkeyhearts,turkeylivers,organiccollardgreens,,poultry,poultry,poultry,poultry,other veg
PureVita,PureVita Grain-Free Beef Stew Dinner Canned Cat Food,beef,beefbroth,peaflour,potatostarch,flaxseedoil,,beef,beef,pea,tuber,veg fat
PureVita,PureVita Grain-Free Chicken Stew Dinner Canned Cat Food,chicken,chickenbroth,peaflour,potatostarch,flaxseedoil,,poultry,poultry,pea,tuber,veg fat
PureVita,PureVita Grain-Free Salmon Entree Dry Cat Food,salmon,salmonmeal,peaprotein,peastarch,sunfloweroil,,fish,dry fish,pea,pea,veg fat
PureVita,PureVita Grain-Free Turkey Stew Dinner Canned Cat Food,turkey,turkeybroth,peaflour,potatostarch,flaxseedoil,,poultry,poultry,pea,tuber,veg fat
Redbarn,Redbarn Naturals Beefa Palooza Beef Stew Grain-Free Canned Cat Food,beef,beefbroth,vegetablebroth,beefpizzle,beefliver,,beef,beef,veg broth,beef,beef
Redbarn,Redbarn Naturals Salmon & Delilah Grain-Free Canned Cat Food,salmon,fishbroth,vegetablebroth,chickenliver,driedeggwhites,,fish,fish,veg broth,poultry,dry egg
Redbarn,Redbarn Naturals Tricky Chicky Chicken Stew Grain-Free Canned Cat Food,chicken,chickenbroth,vegetablebroth,chickenliver,driedeggwhites,,poultry,poultry,veg broth,poultry,dry egg
Spring Naturals,Spring Naturals Grain-Free Chicken Dinner with a Medley of Garden Greens & Berries Dry Cat Food,chicken,eggs,chickpeas,chickenfat(preservedwithmixedtocopherols,naturalflavors,,poultry,egg,pea,meat fat,null
Spring Naturals,Spring Naturals Grain-Free Turkey & Salmon Dinner with a Medley of Garden Greens & Berries Dry Cat Food,turkey,eggs,chickpeas,chickenfat(preservedwithmixedtocopherols,salmon,,poultry,egg,pea,meat fat,fish
Spring Naturals,Spring Naturals Grain-Free Turkey Dinner with a Medley of Garden Greens & Berries Dry Cat Food,turkey,eggs,chickpeas,chickenfat(preservedwithmixedtocopherols,naturalflavors,,poultry,egg,pea,meat fat,null
Stella & Chewy's,Stella & Chewy’s Chick Chick Chicken Dinner Freeze-Dried Cat Food,chicken(groundwithbone,chickenliver,chickengizzard,pumpkinseed,potassiumchloride,,poultryandbonemeal,poultry,poultry,other veg,null
Stella & Chewy's,Stella & Chewy’s Duck Duck Goose Dinner Freeze-Dried Cat Food,duck(groundwithbone,turkey,turkeyliver,goose,turkeygizzard,,poultry,poultry,poultry,poultry,poultry
Stella & Chewy's,Stella & Chewy’s Tummy Ticklin’ Turkey Freeze-Dried Dinner Cat Food,turkey(groundwithbone,turkeyliver,turkeygizzard,pumpkinseed,potassiumchloride,,poultryandbonemeal,poultry,poultry,other veg,null
The Honest Kitchen,The Honest Kitchen Grace Dehydrated Cat Food,allingredientsdehydrated:turkey,eggs,pumpkin,potatoes,parsley,,dry poultry,egg,other veg,tuber,other veg
The Honest Kitchen,The Honest Kitchen Prowl Dehydrated Cat Food,allingredientsdehydrated:chicken,eggs,potatoes,sweetpotatoes,organicflaxseed,,dry poultry,egg,tuber,tuber,grain
The Real Meat Company,The Real Meat Company 90% Beef Air-Dried Cat Food,beef,beeflung,beefliver,beefheart,parsley,,beef,beef,beef,beef,other veg
The Real Meat Company,The Real Meat Company 90% Chicken Air-Dried Cat Food,chicken,chickenliver,chickenheart,chickengizzards,chickenneck,,poultry,poultry,poultry,poultry,poultryandbonemeal
The Real Meat Company,The Real Meat Company 90% Lamb Air-Dried Cat Food,lamb,lamblung,lambliver,lambheart,parslet,,lamb,lamb,lamb,lamb,other veg
Triumph,Triumph Chicken,debonedchicken,chickenmeal,wholegroundbarley,oatmeal,wholegroundrice,,poultry,poultryandbonemeal,grain,grain,grain
Triumph,Triumph Salmon,debonedsalmon,chickenmeal,oatmeal,wholegroundrice,turkeymeal,,fish,poultryandbonemeal,grain,grain,dry poultry
VeRUS,VeRUS Feline Life Advantage Chicken Meal,chickenmeal,groundbrownrice,chickenfat(preservedwithmixedtocopherols,menhadenfishmeal,chicken,,poultryandbonemeal,grain,meat fat,dry fish,poultry
Wysong,Wysong Archetype Burgers Freeze-Dried Dog & Cat Food,beefandchicken,beefandchickenliver,groundbone,carrots,celery,,poultry,poultry,bones,other veg,other veg
Wysong,Wysong Archetype Chicken Formula Freeze-Dried Dog & Cat Food,chicken,chickenorgans,groundchickenbone,naturalflavor,taurine,,poultry,poultry,bones,null,null
Wysong,Wysong Archetype Pollock Formula Freeze-Dried Dog & Cat Food,pollock,naturalflavor,taurine,organicblueberry,organicbarleygrass,,fish,null,null,other veg,other veg
Wysong,Wysong Archetype Quail Formula Freeze-Dried Dog & Cat Food,quail,naturalflavor,taurine,organicblueberry,organicbarleygrass,,poultry,null,null,other veg,other veg
Wysong,Wysong Archetype Rabbit Formula Freeze-Dried Dog & Cat Food,rabbit,naturalflavor,taurine,organicblueberry,organicbarleygrass,,poultry,null,null,other veg,other veg
Wysong,Wysong Epigen 90 Starch-Free Formula Dry Dog & Cat Food,chickenmeal,organicchicken,meatproteinisolate,chickenfat,gelatin,,poultryandbonemeal,poultry,meat protein,meat fat,null
Wysong,Wysong Epigen Beef Formula Canned Dog & Cat Food,beef,watersufficientforprocessing,naturalflavor,organicguargum,mixedtocopherols,,beef,null,null,null,null
Wysong,Wysong Epigen Chicken Formula Canned Dog & Cat Food,chicken,watersufficientforprocessing,naturalflavor,organicguargum,mixedtocopherols,,poultry,null,null,null,null
Wysong,Wysong Epigen Duck Formula Canned Dog & Cat Food,duck,watersufficientforprocessing,naturalflavor,organicguargum,mixedtocopherols,,poultry,null,null,null,null
Wysong,Wysong Epigen Rabbit Formula Canned Dog & Cat Food,rabbit,watersufficientforprocessing,naturalflavor,organicguargum,mixedtocopherols,,poultry,null,null,null,null
Wysong,Wysong Epigen Salmon Formula Canned Dog & Cat Food,salmon,watersufficientforprocessing,naturalflavor,organicguargum,mixedtocopherols,,fish,null,null,null,null
Wysong,Wysong Epigen Starch-Free Chicken Formula Dry Dog & Cat Food,organicchicken,chickenmeal,turkeymeal,potatoprotein,meatproteinisolate,,poultry,poultryandbonemeal,dry poultry,veg protein,meat protein
Wysong,Wysong Epigen Turkey Formula Canned Dog & Cat Food,turkey,watersufficientforprocessing,naturalflavor,organicguargum,mixedtocopherols,,poultry,null,null,null,null
Wysong,Wysong Fundamentals Dry Dog & Cat Food,chickenmeal,brownrice,organicchicken,chickenfat,naturalchickenflavor,,poultryandbonemeal,grain,poultry,meat fat,null
Wysong,Wysong Geriatrx Dry Cat Food,chicken,chickenmeal,fishmeal,turkeymeal,brownrice,,poultry,poultryandbonemeal,dry fish,dry poultry,grain
Wysong,Wysong Nurture Kitten Formula Dry Cat Food,chicken,chickenmeal,fishmeal,turkeymeal,brownrice,,poultry,poultryandbonemeal,dry fish,dry poultry,grain
Wysong,Wysong Nurture with Quail Dry Dog & Cat Food,quail,chicken,chickenmeal,fishmeal,turkeymeal,,poultry,poultry,poultryandbonemeal,dry fish,dry poultry
Wysong,Wysong Optimal Geriatrx Dry Cat Food,organicchicken,chickenmeal,fishmeal,turkeymeal,peaprotein,,poultry,poultryandbonemeal,dry fish,dry poultry,pea
Wysong,Wysong Optimal Nurture Dry Cat Food,organicchicken,chickenmeal,fishmeal,turkeymeal,potatoprotein,,poultry,poultryandbonemeal,dry fish,dry poultry,veg protein
Wysong,Wysong Optimal Vitality Dry Cat Food,organicchicken,chickenmeal,fishmeal,turkeymeal,peaprotein,,poultry,poultryandbonemeal,dry fish,dry poultry,pea
Wysong,Wysong Uretic Dry Cat Food,chicken,chickenmeal,meatproteinisolate,potatoprotein,brownrice,,poultry,poultryandbonemeal,meat protein,veg protein,grain
Wysong,Wysong Vitality Dry Cat Food,chicken,chickenmeal,fishmeal,turkeymeal,brownrice,,poultry,poultryandbonemeal,dry fish,dry poultry,grain
ZiwiPeak,ZiwiPeak Daily-Cat Beef Canned Cat Food,beef-meat(includesupto3%finelygroundbone,min.23%beef-liver,lung,tripemin.47%newzealandgreen-lippedmusselmin.3%agar-agar,kelp,,beef,beef,beef,beef,other veg
ZiwiPeak,ZiwiPeak Daily-Cat Beef Cuisine Air-Dried Cat Food,beef-meat(includesupto3%finelygroundbone,beef-liver,lung,tripe,newzealandgreen-lippedmussel,,beef,beef,beef,beef,fish
ZiwiPeak,ZiwiPeak Daily-Cat Cuisine Lamb Canned Cat Food,lamb-meat(includesupto3%finelygroundbone,lamb-liver,tripe,lungnewzealandgreen-lippedmussellecithin,agar-agar,,lamb,lamb,beef,fish,null
ZiwiPeak,ZiwiPeak Daily-Cat Cuisine Rabbit & Lamb Canned Cat Food,rabbit-meat,lamb-meat,lamb-liver,lung,tripe,,poultry,lamb,lamb,beef,beef
ZiwiPeak,ZiwiPeak Daily-Cat Cuisine Venison & Fish Canned Cat Food,venisonmeat(includesupto3%finelygroundbone,venisonliver,venisonlung,venisontripe,venisonkidney,,beef,beef,beef,beef,beef
ZiwiPeak,ZiwiPeak Daily-Cat Cuisine Venison Canned Cat Food,venisonmeat(includesupto3%finelygroundbone,venisonliver,venisontripe,venisonlung,venisonkidney,,beef,beef,beef,beef,beef
ZiwiPeak,ZiwiPeak Daily-Cat Lamb Cuisine Air-Dried Cat Food,lamb-meat(includesupto3%finelygroundbone,lamb-liver,lung,tripe,heartandkidney,,lamb,lamb,beef,beef,beef
ZiwiPeak,ZiwiPeak Daily-Cat Venison & Fish Cuisine Air-Dried Cat Food,venison-meat(includesupto3%finelygroundbone,hokifish,venison-liver,lung,tripe,,beefandbonemeal,fish,beef,beef,beef
ZiwiPeak,ZiwiPeak Daily-Cat Venison Cuisine Air-Dried Cat Food,venison-meat(includesupto3%finelygroundbone,venison-liver,lung,tripe,heartandkidney,,beefandbonemeal,beef,beef,beef,beef
,,,,,,,,,,,,
MARKET-LEADING/NON-PREMIUM DOG FOODS,,,,,,,,,,,,
Brand,Product,1st Ingredient,2nd Ingredient,3rd Ingredient,4th Ingredient,5th Ingredient,,1st Ingredient Equivalent,2nd Ingredient Equivalent,3rd Ingredient Equivalent,4th Ingredient Equivalent,5th Ingredient Equivalent
Purina,Purina Dog Chow Complete Adult,wholegraincorn,meatandbonemeal,cornglutenmeal,animalfatpreservedwithmixed-tocopherols,soybeanmeal,,grain,beefandbonemeal,veg protein,meat fat,pea
Pedigree,"Dry Dog Food Adult Chicken, Rice and Vegetable Flavor",wholegraincorn,meatandbonemeal,cornglutenmeal,animalfatpreservedwithmixed-tocopherols,soybeanmeal,,grain,beefandbonemeal,veg protein,meat fat,pea
Purina ,Purina One Smartblend Lamb and Rice Formula Adult Dog Food,lamb(sourceofglucosamine),brewer'srice,wholegraincorn,wholegrainwheat,poultryby-productmeal(sourceofglucosamine),,lamb,grain,grain,grain,dry poultry
Iams,Iams Proactive Health Adult Large Breed,chicken,cornmeal,groundwholegrainsorghum,chickenby-productmeal(sourceofchondroitinsulfateandglucosamine),groundwholegrainbarley,,poultry,grain,grain,poultryandbonemeal,grain
Purina ,Purina Beneful Dry Dog Food Originals with Real Beef,groundyellowcorn,chickenby-productmeal,cornglutenmeal,wholewheatflour,animalfatpreservedwithmixed-tocopherols,,grain,dry poultry,veg protein,grain,meat fat
Kibbles 'n Bits,Kibbles 'n Bits Original,corn,soybeanmeal,beef&bonemeal,groundwheat,animalfat(bhausedaspreservative),,grain,pea,beefandbonemeal,grain,meat fat
Purina ,Purina Beneful Healthy Weight with Real Chicken,groundyellowcorn,chickenby-productmeal,cornglutenmeal,soybeanhulls*,wholewheatflour,,grain,dry poultry,veg protein,veg pulp,grain
Purina ,Purina Alpo Prime Cuts Savory Beef Flavor,groundyellowcorn,meatandbonemeal,soybeanmeal,beeftallowpreservedwithmixed-tocopherols(formofvitamine),cornglutenmeal,,grain,beefandbonemeal,pea,meat fat,veg protein
Rachael Ray Nutrish,Rachael Ray Nutrish Real Chicken and Veggies Recipe,chicken,chickenmeal,groundrice,soybeanmeal,wholegraincorn,,poultry,poultryandbonemeal,grain,pea,grain
,,,,,,,,,,,,
MARKET-LEADING/NON-PREMIUM CAT FOODS,,,,,,,,,,,,
Brand,Product,1st Ingredient,2nd Ingredient,3rd Ingredient,4th Ingredient,5th Ingredient,,1st Ingredient Equivalent,2nd Ingredient Equivalent,3rd Ingredient Equivalent,4th Ingredient Equivalent,5th Ingredient Equivalent
Purina,Purina Kit & Kaboodle,groundyellowcorn,cornglutenmeal,soybeanmeal,meatandbonemeal,beeftallowpreservedwithmixed-tocopherols(sourceofvitamine),,grain,veg protein,pea,beefandbonemeal,meat fat
Meow Mix,Meow Mix Original Choice,groundyellowcorn,cornglutenmeal,chickenby-productmeal,soybeanmeal,beeftallow(preservedwithmixedtocopherols),,grain,veg protein,dry poultry,pea,meat fat
Iams,Iams Proactive Health Healhy Adult Original with Chicken,chicken,chickenby-productmeal,cornmeal,brewersrice,driedbeetpulp,,poultry,dry poultry,grain,grain,veg pulp
Purina,Purina Cat Chow Indoor Formula,cornmeal,poultryby-productmeal,cornglutenmeal,soyflour,animalfatpreservedwithmixed-tocopherols,,grain,dry poultry,veg protein,pea,meat fat
Meow Mix,Meow Mix Indoor Health,groundyellowcorn,cornglutenmeal,chickenby-productmeal,soybeanmeal,beeftallow(preservedwithmixedtocopherols),,grain,veg protein,dry poultry,pea,meat fat
Purina,Purina Cat Chow Complete Formula,poultryby-productmeal,cornmeal,cornglutenmeal,groundwholewheat,brewersrice,,dry poultry,grain,veg protein,grain,grain
Meow Mix,Meow Mix Tender Centers Salmon and White Meat Chicken Flavors,wholegroundcorn,chickenby-productmeal,cornglutenmeal,soybeanmeal,wholewheat,,grain,dry poultry,veg protein,pea,grain
Purina,Purina Cat Chow Naturals Original,chickenmeal,cornglutenmeal,soybeanmeal,brewersrice,animalfatpreservedwithmixed-tocopherols(formofvitamine),,poultryandbonemeal,veg protein,pea,grain,meat fat
9 Lives,9 Lives Daily Essentials,wholegroundcorn,chickenby-productmeal,cornglutenmeal,soybeanmeal,wholewheat,,grain,dry poultry,veg protein,pea,grain
